doc_id,title ,category,sub_category ,location ,description,content,source,tags
187,National Park of Buleleng,destinasi_wisata,Umum,,,,Google Maps / Manual,
188,Pulaki Temple,destinasi_wisata,Budaya,,,,Google Maps / Manual,
189,Taman Bidadari,destinasi_wisata,Alam,,,,Google Maps / Manual,
190,Brahmavihara-Arama,destinasi_wisata,Umum,,,,Google Maps / Manual,
191,Air Terjun Padangbulia,destinasi_wisata,Alam,,,,Google Maps / Manual,
192,Bali Handara Gate,destinasi_wisata,Umum,,,,Google Maps / Manual,
193,Krisna Funtasticland,destinasi_wisata,Umum,,,,Google Maps / Manual,
194,Gerokgak Sunrise View Point,destinasi_wisata,Umum,,,,Google Maps / Manual,
195,Dermaga Cinta,destinasi_wisata,Umum,,,,Google Maps / Manual,
196,Holy Hot Spring,destinasi_wisata,Alam,,,,Google Maps / Manual,
197,Buyan Lake,destinasi_wisata,Alam,,,,Google Maps / Manual,
198,Santhipala Spring Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
199,Bukit Ganesha,destinasi_wisata,Umum,,,,Google Maps / Manual,
200,Pura Maduwe Karang,destinasi_wisata,Budaya,,,,Google Maps / Manual,
201,Pantai Tangguwisia Bali,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
202,Pancoran kedu,destinasi_wisata,Umum,,,,Google Maps / Manual,
203,West Bali National Park,destinasi_wisata,Umum,,,,Google Maps / Manual,
204,Air Terjun Carat,destinasi_wisata,Alam,,,,Google Maps / Manual,
205,Munduk Waterfalls Trekking Point,destinasi_wisata,Alam,,,,Google Maps / Manual,
206,Puncak Indah Bedugul,destinasi_wisata,Alam,,,,Google Maps / Manual,
207,Beji Sangsit Temple (Cultural Heritage & Public Temple),destinasi_wisata,Budaya,,,,Google Maps / Manual,
208,Jembatan Ex. Pelabuhan Buleleng,destinasi_wisata,Umum,,,,Google Maps / Manual,
209,Sunset Tembau,destinasi_wisata,Umum,,,,Google Maps / Manual,
210,Karang Rata Beach,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
211,Lovina Dolphin Watching,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
212,Puri Gede Buleleng,destinasi_wisata,Budaya,,,,Google Maps / Manual,
213,kubu hobbit pedawa,destinasi_wisata,Umum,,,,Google Maps / Manual,
214,Pura Melanting,destinasi_wisata,Budaya,,,,Google Maps / Manual,
215,MRX LOVINA BALI,destinasi_wisata,Umum,,,,Google Maps / Manual,
216,Red Coral Munduk Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
217,Twin Lake,destinasi_wisata,Alam,,,,Google Maps / Manual,
218,Gili Putih Sumberkima,destinasi_wisata,Umum,,,,Google Maps / Manual,
219,Gatep Lawas Ambengan,destinasi_wisata,Umum,,,,Google Maps / Manual,
220,Klenteng Ling Gwan Kiong,destinasi_wisata,Umum,,,,Google Maps / Manual,
221,Sambangan Village Tourist Information (Sambangan Secret Garden),destinasi_wisata,Umum,,,,Google Maps / Manual,
222,Pura Dalem Jagaraga Temple,destinasi_wisata,Budaya,,,,Google Maps / Manual,
223,Grokgak Dam,destinasi_wisata,Umum,,,,Google Maps / Manual,
224,Mesusun waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
225,Pura Bukit Sinunggal,destinasi_wisata,Budaya,,,,Google Maps / Manual,
226,Aling Aling waterfall &jungle trekking,destinasi_wisata,Alam,,,,Google Maps / Manual,
227,Fiji Waterfall Lemukih,destinasi_wisata,Alam,,,,Google Maps / Manual,
228,Taman Bung Karno,destinasi_wisata,Alam,,,,Google Maps / Manual,
229,Pantai Tanjung Karang Patas (TKP),destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
230,Wisata Petik Anggur Subur Makmur,destinasi_wisata,Umum,,,,Google Maps / Manual,
231,Pantai lokapaksa,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
232,Bukit Mende,destinasi_wisata,Umum,,,,Google Maps / Manual,
233,Lovina Beach,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
234,Pantai Penimbangan Timur Pura,destinasi_wisata,Budaya,,,,Google Maps / Manual,
235,Tugu Singa Ambara Raja,destinasi_wisata,Umum,,,,Google Maps / Manual,
236,Celuk Agung Beach Anturan,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
237,Lovina Dolphin Statue,destinasi_wisata,Umum,,,,Google Maps / Manual,
238,Air terjun yeh mampeh,destinasi_wisata,Alam,,,,Google Maps / Manual,
239,Gandameru,destinasi_wisata,Umum,,,,Google Maps / Manual,
240,Air Terjun Sumberkima,destinasi_wisata,Alam,,,,Google Maps / Manual,
241,Buyan Lake View,destinasi_wisata,Alam,,,,Google Maps / Manual,
242,Sekumpul Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
243,Kubu Ngurah Arsa アルサマヨン,destinasi_wisata,Umum,,,,Google Maps / Manual,
244,Krisna Eco Village,destinasi_wisata,Umum,,,,Google Maps / Manual,
245,Pura Batu Kursi,destinasi_wisata,Budaya,,,,Google Maps / Manual,
246,Kayoan dedari,destinasi_wisata,Umum,,,,Google Maps / Manual,
247,Monumen Perjuangan Tugu Tiga Singaraja,destinasi_wisata,Umum,,,,Google Maps / Manual,
248,Campuhan Ridge Walk,destinasi_wisata,Umum,,,,Google Maps / Manual,
249,Obyek Wisata Goa Gajah,destinasi_wisata,Alam,,,,Google Maps / Manual,
250,Kanto Lampo Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
251,Hidden Canyon Beji Guwang,destinasi_wisata,Umum,,,,Google Maps / Manual,
252,KISSIDAN ECO HILL RETREAT & RESTO,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
253,Tegal linggah Cliff Temple,destinasi_wisata,Budaya,,,,Google Maps / Manual,
254,Pada Wareg Eco Park,destinasi_wisata,Umum,,,,Google Maps / Manual,
255,Jembatan kaca Bali Tegenungan /Bali Glass Bridge Main entrance,destinasi_wisata,Alam,,,,Google Maps / Manual,
256,Taman Sari Waterfall & Natural pool,destinasi_wisata,Alam,,,,Google Maps / Manual,
257,"Lembah Bidadari, Tegallalang Gianyar",destinasi_wisata,Alam,,,,Google Maps / Manual,
258,Pura Tirta Empul,destinasi_wisata,Budaya,,,,Google Maps / Manual,
259,Bali Bird Park,destinasi_wisata,Alam,,,,Google Maps / Manual,
260,Siyut Beach,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
261,Taman Kota Ciung Wanara Gianyar,destinasi_wisata,Alam,,,,Google Maps / Manual,
262,Puri Agung Peliatan,destinasi_wisata,Budaya,,,,Google Maps / Manual,
263,Blangsinga Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
264,Suwat Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
265,Kemenuh Monkey River,destinasi_wisata,Umum,,,,Google Maps / Manual,
266,Goa Garba,destinasi_wisata,Alam,,,,Google Maps / Manual,
267,"Kemenuh Butterfly Park, Bali",destinasi_wisata,Alam,,,,Google Maps / Manual,
268,Sari Timbul Art Gallery,destinasi_wisata,Umum,,,,Google Maps / Manual,
269,Goa Rang Reng Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
270,Desa Wisata Sayan,destinasi_wisata,Umum,,,,Google Maps / Manual,
271,Kebun Raya Gianyar,destinasi_wisata,Umum,,,,Google Maps / Manual,
272,Masceti Beach,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
273,Subak Pulagan,destinasi_wisata,Alam,,,,Google Maps / Manual,
274,Ulu Petanu Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
275,Tegenungan Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
276,Bali Zoo,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
277,Pura Gunung Kawi Parking Lot,destinasi_wisata,Budaya,,,,Google Maps / Manual,
278,Blangsingah Glass Bridge,destinasi_wisata,Umum,,,,Google Maps / Manual,
279,Sangeh Monkey Forest,destinasi_wisata,Alam,,,,Google Maps / Manual,
280,Taman Sari Bebengan Bukit Jangkrik,destinasi_wisata,Alam,,,,Google Maps / Manual,
281,Ubud Palace,destinasi_wisata,Budaya,,,,Google Maps / Manual,
282,Pura Gunung Kawi Sebatu,destinasi_wisata,Budaya,,,,Google Maps / Manual,
283,Ubud Water Palace,destinasi_wisata,Budaya,,,,Google Maps / Manual,
284,Sari Timbul by Kubu Bali,destinasi_wisata,Umum,,,,Google Maps / Manual,
285,Desa Wisata Taro,destinasi_wisata,Umum,,,,Google Maps / Manual,
286,Agung Rai Museum of Art,destinasi_wisata,Budaya,,,,Google Maps / Manual,
287,Pont de Campuhan,destinasi_wisata,Umum,,,,Google Maps / Manual,
288,Jembatan Kuning,destinasi_wisata,Umum,,,,Google Maps / Manual,
289,Manuaba Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
290,Goa Gajah,destinasi_wisata,Alam,,,,Google Maps / Manual,
291,Istana Kepresidenan Tampaksiring,destinasi_wisata,Umum,,,,Google Maps / Manual,
292,Air Terjun Apit Aungan Pejeng,destinasi_wisata,Alam,,,,Google Maps / Manual,
293,Keramas Beach,destinasi_wisata,Rekreasi,,,,Google Maps / Manual,
294,Candi Tebing Kerobokan,destinasi_wisata,Budaya,,,,Google Maps / Manual,
295,Pura Mengening,destinasi_wisata,Budaya,,,,Google Maps / Manual,
296,Gembok cinta,destinasi_wisata,Umum,,,,Google Maps / Manual,
297,Ceking Rice Terrace,destinasi_wisata,Alam,,,,Google Maps / Manual,
298,Linggih Bali,destinasi_wisata,Umum,,,,Google Maps / Manual,
299,Mount Lebah Temple,destinasi_wisata,Budaya,,,,Google Maps / Manual,
300,Objek Wisata Sangeh,destinasi_wisata,Umum,,,,Google Maps / Manual,
301,Delodsema Traditional Village,destinasi_wisata,Budaya,,,,Google Maps / Manual,
302,Pura Kebo Edan,destinasi_wisata,Budaya,,,,Google Maps / Manual,
303,Ulu cangkir waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
304,Museum Puri Lukisan,destinasi_wisata,Budaya,,,,Google Maps / Manual,
305,Pura Puseh Desa Batuan,destinasi_wisata,Budaya,,,,Google Maps / Manual,
306,Pura Dalem Agung Padangtegal,destinasi_wisata,Budaya,,,,Google Maps / Manual,
307,Tangkup Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
308,Temple Yeh Pulu,destinasi_wisata,Budaya,,,,Google Maps / Manual,
309,Tukad yeh bulan,destinasi_wisata,Umum,,,,Google Maps / Manual,
310,Temesi Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
311,Puri Langon Ubud,destinasi_wisata,Budaya,,,,Google Maps / Manual,
312,Desa wisata blangsinga ᬤᬰᬯᬶᬲᬢᬩ᭄ᬮᬗ᭄ᬲᬶᬗ᭟,destinasi_wisata,Umum,,,,Google Maps / Manual,
313,Petulu Heron Bird Colony Watch Point,destinasi_wisata,Alam,,,,Google Maps / Manual,
314,SUCEN WISATA TEGALLINGGAH,destinasi_wisata,Umum,,,,Google Maps / Manual,
315,Tirta Empul Temple Tour,destinasi_wisata,Budaya,,,,Google Maps / Manual,
316,Bali Bird Walks,destinasi_wisata,Alam,,,,Google Maps / Manual,
317,Desa Wisata Keramas,destinasi_wisata,Umum,,,,Google Maps / Manual,
318,Pegulingan Temple,destinasi_wisata,Budaya,,,,Google Maps / Manual,
319,Pura Agung Gunung Raung Taro,destinasi_wisata,Budaya,,,,Google Maps / Manual,
320,Uma Anyar Waterfall,destinasi_wisata,Alam,,,,Google Maps / Manual,
321,Alas Harum Bali,destinasi_wisata,Umum,,,,Google Maps / Manual,
322,The Amazing Taman Safari Bali,destinasi_wisata,Alam,,,,Google Maps / Manual,
